上海组播,#genre#
CCTV8,http://171.124.100.84:8084/rtp/226.0.2.25:8112
CCTV8,http://118.79.7.85:7000/rtp/226.0.2.211:9600
CCTV8,http://118.79.7.85:7000/rtp/226.0.2.25:8112
CCTV9,http://171.124.100.84:8084/rtp/226.0.2.161:9200
CCTV9,http://171.124.100.84:8084/rtp/226.0.2.26:8120
CCTV9,http://118.79.7.85:7000/rtp/226.0.2.161:9200
CCTV9,http://118.79.7.85:7000/rtp/226.0.2.26:8120
CETV1,http://171.124.100.84:8084/rtp/226.0.2.181:9360
CETV1,http://118.79.7.85:7000/rtp/226.0.2.181:9360
CETV早期教育,http://171.124.100.84:8084/rtp/226.0.2.99:8704
CETV早期教育,http://118.79.7.85:7000/rtp/226.0.2.99:8704
CHC影迷电影,http://171.124.100.84:8084/rtp/226.0.2.93:8004
CHC影迷电影,http://118.79.7.85:7000/rtp/226.0.2.93:8004
CHC家庭影院,http://171.124.100.84:8084/rtp/226.0.2.240:9820
CHC家庭影院,http://118.79.7.85:7000/rtp/226.0.2.240:9820
CHC动作电影,http://171.124.100.84:8084/rtp/226.0.2.94:8012
CHC动作电影,http://118.79.7.85:7000/rtp/226.0.2.94:8012
山西文体生活,http://171.124.100.84:8084/rtp/226.0.2.16:8040
山西文体生活,http://171.124.100.84:8084/rtp/226.0.2.237:9808
山西文体生活,http://171.124.100.84:8084/rtp/226.0.2.190:9432
山西文体生活,http://118.79.7.85:7000/rtp/226.0.2.16:8040
山西文体生活,http://118.79.7.85:7000/rtp/226.0.2.237:9808
山西社会与法治,http://171.124.100.84:8084/rtp/226.0.2.238:9816
山西社会与法治,http://171.124.100.84:8084/rtp/226.0.2.15:8032
山西社会与法治,http://118.79.7.85:7000/rtp/226.0.2.238:9816
山西社会与法治,http://118.79.7.85:7000/rtp/226.0.2.15:8032
山西经济与科技,http://171.124.100.84:8084/rtp/226.0.2.236:9800
山西经济与科技,http://118.79.7.85:7000/rtp/226.0.2.236:9800
山西黄河,http://171.124.100.84:8084/rtp/226.0.2.235:9792
山西黄河,http://171.124.100.84:8084/rtp/226.0.2.12:8008
山西黄河,http://118.79.7.85:7000/rtp/226.0.2.235:9792
山西黄河,http://118.79.7.85:7000/rtp/226.0.2.12:8008
清徐,http://171.124.100.84:8084/rtp/226.0.2.191:9440
清徐,http://118.79.7.85:7000/rtp/226.0.2.191:9440
第一剧场,http://171.124.100.84:8084/rtp/226.0.2.221:9680
第一剧场,http://118.79.7.85:7000/rtp/226.0.2.221:9680
风云剧场,http://171.124.100.84:8084/rtp/226.0.2.227:9728
风云剧场,http://118.79.7.85:7000/rtp/226.0.2.227:9728
风云足球,http://171.124.100.84:8084/rtp/226.0.2.225:9712
风云足球,http://118.79.7.85:7000/rtp/226.0.2.225:9712
风云音乐,http://171.124.100.84:8084/rtp/226.0.2.220:9672
风云音乐,http://118.79.7.85:7000/rtp/226.0.2.220:9672
世界地理,http://171.124.100.84:8084/rtp/226.0.2.222:9688
世界地理,http://118.79.7.85:7000/rtp/226.0.2.222:9688
电视指南,http://171.124.100.84:8084/rtp/226.0.2.218:9656
电视指南,http://118.79.7.85:7000/rtp/226.0.2.218:9656
怀旧剧场,http://171.124.100.84:8084/rtp/226.0.2.224:9704
怀旧剧场,http://118.79.7.85:7000/rtp/226.0.2.224:9704
兵器科技,http://171.124.100.84:8084/rtp/226.0.2.223:9696
兵器科技,http://118.79.7.85:7000/rtp/226.0.2.223:9696
女性时尚,http://171.124.100.84:8084/rtp/226.0.2.226:9720
女性时尚,http://118.79.7.85:7000/rtp/226.0.2.226:9720
高尔夫网球,http://171.124.100.84:8084/rtp/226.0.2.217:9648
高尔夫网球,http://118.79.7.85:7000/rtp/226.0.2.217:9648
央视台球,http://171.124.100.84:8084/rtp/226.0.2.216:9640
央视台球,http://118.79.7.85:7000/rtp/226.0.2.216:9640
央视文化精品,http://171.124.100.84:8084/rtp/226.0.2.219:9664
央视文化精品,http://118.79.7.85:7000/rtp/226.0.2.219:9664
梨园频道,http://171.124.100.84:8084/rtp/226.0.2.115:8832
梨园频道,http://118.79.7.85:7000/rtp/226.0.2.115:8832
法治天地,http://171.124.100.84:8084/rtp/226.0.2.83:8576
法治天地,http://118.79.7.85:7000/rtp/226.0.2.83:8576
游戏风云,http://171.124.100.84:8084/rtp/226.0.2.78:8536
游戏风云,http://118.79.7.85:7000/rtp/226.0.2.78:8536
茶频道,http://171.124.100.84:8084/rtp/226.0.2.213:9616
茶频道,http://118.79.7.85:7000/rtp/226.0.2.213:9616
武术世界,http://171.124.100.84:8084/rtp/226.0.2.97:8688
武术世界,http://118.79.7.85:7000/rtp/226.0.2.97:8688
金鹰纪实,http://171.124.100.84:8084/rtp/226.0.2.194:9464
金鹰纪实,http://118.79.7.85:7000/rtp/226.0.2.194:9464
文物宝库,http://171.124.100.84:8084/rtp/226.0.2.110:8792
文物宝库,http://118.79.7.85:7000/rtp/226.0.2.110:8792
快乐垂钓,http://171.124.100.84:8084/rtp/226.0.2.214:9624
快乐垂钓,http://118.79.7.85:7000/rtp/226.0.2.214:9624
生活时尚,http://171.124.100.84:8084/rtp/226.0.2.84:8584
生活时尚,http://118.79.7.85:7000/rtp/226.0.2.84:8584
中国天气,http://171.124.100.84:8084/rtp/226.0.2.103:8736
中国天气,http://118.79.7.85:7000/rtp/226.0.2.103:8736
乐游,http://171.124.100.84:8084/rtp/226.0.2.77:8528
乐游,http://118.79.7.85:7000/rtp/226.0.2.77:8528
动漫秀场,http://171.124.100.84:8084/rtp/226.0.2.183:9376
动漫秀场,http://118.79.7.85:7000/rtp/226.0.2.183:9376
重庆卫视,http://171.124.100.84:8084/rtp/226.0.2.174:9304
重庆卫视,http://171.124.100.84:8084/rtp/226.0.2.50:8312
重庆卫视,http://118.79.7.85:7000/rtp/226.0.2.174:9304
重庆卫视,http://118.79.7.85:7000/rtp/226.0.2.50:8312
江苏卫视,http://171.124.100.84:8084/rtp/226.0.2.176:9320
江苏卫视,http://171.124.100.84:8084/rtp/226.0.2.38:8216
江苏卫视,http://118.79.7.85:7000/rtp/226.0.2.176:9320
江苏卫视,http://118.79.7.85:7000/rtp/226.0.2.38:8216
浙江卫视,http://171.124.100.84:8084/rtp/226.0.2.144:9064
浙江卫视,http://171.124.100.84:8084/rtp/226.0.2.36:8200
浙江卫视,http://118.79.7.85:7000/rtp/226.0.2.144:9064
浙江卫视,http://118.79.7.85:7000/rtp/226.0.2.36:8200
东方卫视,http://171.124.100.84:8084/rtp/226.0.2.175:9312
东方卫视,http://171.124.100.84:8084/rtp/226.0.2.34:8184
东方卫视,http://118.79.7.85:7000/rtp/226.0.2.175:9312
东方卫视,http://118.79.7.85:7000/rtp/226.0.2.34:8184
深圳卫视,http://171.124.100.84:8084/rtp/226.0.2.147:9088
深圳卫视,http://171.124.100.84:8084/rtp/226.0.2.47:8288
