四川4K组播,#genre#
广东卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.109:5999
广东卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.46:5999
广东卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.109:5999
深圳卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.110:5999
深圳卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.45:5999
深圳卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.110:5999
深圳卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.45:5999
湖南卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.113:5999
湖南卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.114:5999
湖南卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.113:5999
湖南卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.114:5999
山东卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.130:5999
山东卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.138:5999
山东卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.130:5999
山东卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.138:5999
四川卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.129:5999
四川卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.125:5999
四川卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.129:5999
四川卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.125:5999
浙江卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.122:5999
浙江卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.121:5999
浙江卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.122:5999
浙江卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.121:5999
江苏卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.118:5999
江苏卫视 4K,http://220.172.22.15:4022/rtp/238.255.2.119:5999
江苏卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.118:5999
江苏卫视 4K,http://61.159.135.162:9527/rtp/238.255.2.119:5999
